Date,Cobre,Zinco,Aluminio,Chumbo,Estanho,Niquel,Dolar
2012-07-20,7625.0,1851.0,1894.5,1899.0,18990.0,15830.0,2.0111999511719
2012-07-23,7387.0,1799.0,1835.5,1850.5,18455.0,15650.0,2.0229001045227
2012-07-24,7396.0,1800.0,1840.0,1840.5,17840.0,15605.0,2.0364000797272
2012-07-25,7441.0,1805.0,1847.0,1849.0,17800.0,15715.0,2.0455000400543
2012-07-26,7510.5,1809.0,1865.5,1870.0,17700.0,15930.0,2.0327000617981
2012-07-27,7555.0,1835.0,1860.0,1907.5,18225.0,15860.0,2.0201001167297
2012-07-30,7520.0,1840.5,1851.5,1909.0,18100.0,16020.0,2.0209000110626
2012-07-31,7581.0,1849.5,1862.5,1946.5,18220.0,16000.0,2.0402998924255
2012-08-01,,,,,,,2.0566999912262
2012-08-02,,,,,,,2.0420999526978
2012-08-03,,,,,,,2.0483999252319
2012-08-06,,,,,,,2.0269999504089
2012-08-07,,,,,,,2.0285000801086
2012-08-08,,,,,,,2.0271000862122
2012-08-09,7495.5,1845.0,1866.0,1893.0,18110.0,15450.0,2.0211000442505
2012-08-10,7430.5,1823.0,1835.0,1889.0,17900.0,15225.0,2.0171000957489
2012-08-13,7426.5,1820.5,1824.0,1866.0,17815.0,15320.0,2.0139000415802
2012-08-14,7407.0,1793.0,1813.0,1862.5,18125.0,15555.0,2.019700050354
2012-08-15,7386.0,1782.0,1803.5,1835.0,18205.0,15230.0,2.0257999897003
2012-08-16,7386.0,1765.5,1793.5,1816.5,18005.0,15190.0,2.0236001014709
2012-08-17,7496.0,1778.5,1810.5,1871.0,18500.0,15435.0,2.0151000022888
2012-08-20,7433.0,1759.5,1799.0,1871.0,18450.0,15350.0,2.0144999027252
2012-08-21,7510.0,1799.5,1821.0,1913.0,18660.0,15610.0,2.0143001079559
2012-08-22,7571.5,1804.0,1829.0,1905.0,18825.0,15755.0,2.0109000205994
2012-08-23,7667.5,1829.5,1861.5,1921.5,19865.0,16135.0,2.0153000354767
2012-08-24,7600.5,1836.5,1871.5,1942.0,20320.0,16430.0,2.0227999687195
2012-08-27,,,,,,,2.023099899292
2012-08-28,7606.0,1847.5,1883.0,1954.5,20675.0,16210.0,2.0309998989105
2012-08-29,7524.5,1835.0,1873.0,1959.0,20300.0,16235.0,2.0408999919891
2012-08-30,7611.0,1832.5,1868.0,1963.0,19425.0,16280.0,2.0469999313354
2012-08-31,7576.5,1806.0,1849.0,1963.5,19645.0,15875.0,2.0455000400543
2012-09-03,7649.5,1836.0,1880.0,1982.0,19675.0,16105.0,2.0276999473572
2012-09-04,7640.5,1857.0,1927.5,1999.0,19660.0,16100.0,2.0285999774933
2012-09-05,7606.5,1844.5,1928.0,1991.5,19525.0,15835.0,2.0367000102997
2012-09-06,7670.5,1873.0,1963.0,2036.0,19560.0,16105.0,2.0362000465393
